公司名称,公司地址,lat,lon
深圳市经纬聚汇科技有限公司,深圳宝安区中粮031创意园C栋201深圳市经纬聚汇科技有限公司,22.579283,113.894106
深圳市酷客智能科技有限公司,深圳宝安区酷客智能二楼,22.600941,113.849675
深圳市齐创绿色科技有限公司,深圳宝安区华美居商务中心D区一号楼丰泰楼601-613,22.563404,113.879538
深圳市恒业佳科技有限公司,深圳宝安区万科星宸大厦1栋706,22.714388,113.832797
深圳市优客智能科技有限公司,深圳宝安区深圳航城创新创业园A4栋318,22.604877,113.846896
深圳市泰韦斯科技有限公司,深圳宝安区联诚发声光电智慧产业园-金星三楼,22.608093,113.841800
一兆声学科技（深圳）有限公司,深圳宝安区佳兆纳创意大厦C座12楼,22.625850,113.837780
深圳市英邦科技有限公司,深圳宝安区顺捷工业园6楼,22.712617,113.802274
深圳市富浩源能源科技有限公司,深圳宝安区深圳市富浩源能源科技有限公司A17栋3层整层,22.667749,113.798849
深圳市冲天电子科技有限公司,深圳宝安区前城中心1201深圳市冲天电子科技有限公司,22.603522,113.848819
深圳市恒昇凯乐国际贸易有限公司,深圳宝安区稻兴环球科创中心A座27层2701,22.600935,113.848020
深圳市奥赛德瑞科技有限公司,深圳宝安区臣田研发大楼臣田股份大厦801,22.591902,113.875794
深圳市利仕鑫科技有限公司,深圳宝安区福海文创园B栋,22.670214,113.805284
深圳市百美优电子科技有限公司,深圳宝安区深圳市百美优电子科技有限公司B1栋5楼,22.653017,113.867380
深圳市传盛科技有限公司,深圳宝安区华丰智慧创新港(南门)华丰智慧创新港B座一楼,22.599453,113.845575
兰帕网络技术（深圳）有限公司,深圳宝安区宝通大厦805,22.567569,113.895928
深圳市顶航电子科技有限公司,深圳宝安区建源·智创园B栋301,22.604275,113.864764
深圳市卓信特通讯科技有限公司,深圳宝安区宝安智谷D栋711,22.583027,113.858519
深圳海润天恒科技有限公司,深圳宝安区宝安互联网产业基地A区1栋,22.561203,113.870298
深圳市暖心房灯饰贸易有限公司,深圳宝安区汇潮科技大厦7,22.578650,113.859605
深圳市普科曼利科技有限公司,深圳宝安区稻兴环球科创中心B座12层1216,22.600935,113.848020
深圳格信诺国际贸易有限公司,深圳宝安区侨鸿盛文化产业园A座517,22.586593,113.860634
深圳市樱泽电子商务有限公司,深圳宝安区丰盛大厦307,22.726016,113.839456
深圳市冠达电子科技有限公司,深圳宝安区汇潮科技大厦1707,22.578650,113.859605
深圳市阳和通电子有限公司,深圳宝安区敬航大厦4楼,22.583330,113.916760
深圳伟映网络科技有限公司,深圳宝安区锦驰商务大厦B座B座,22.571354,113.887436
深圳市深创高科电子有限公司,深圳宝安区茶西经发工业园智造园A栋6楼,22.691766,113.815282
深圳和润银科技有限公司,深圳宝安区深圳北方永发高新科技工业园C栋三楼和润银科技有限公司,22.760439,113.811959
深圳市心悦诚科技有限公司,深圳宝安区同富裕工业区(爱群路)6号写字楼,22.714616,113.792895
深圳市嘉美莱科技有限公司,深圳宝安区同泰时代中心2栋B座6楼603,22.678229,113.804459
深圳市胜勒科技有限公司,深圳宝安区下围园新村茶树7厂3楼,22.596118,113.846100
松星瑞实业（深圳）有限公司,深圳宝安区松星瑞实业2楼,22.675697,113.837832
深圳市绿智源科技有限公司,深圳宝安区中粮商务公园1栋7楼,22.576300,113.923904
双狼科技（深圳）集团有限公司,深圳宝安区厚德群创意产业园201,22.753492,113.823783
深圳市易商世代文化发展有限公司,深圳宝安区万源商务大厦(东南门)2栋609-610号,22.581564,113.917292
深圳市鸣赞科技有限公司,深圳宝安区鸿宇商务大厦509,22.600957,113.848362
深圳市万唯信贸易有限公司,深圳宝安区资信达大厦901,22.593076,113.881464
深圳市海艺达电子商贸有限公司,深圳宝安区深圳市海艺达电子商贸有限公司4层409,22.721112,113.841372
深圳市美乐德商务服务有限公司,深圳宝安区美生创谷科技创新园夏谷B508,22.577020,113.926627
深圳市美茂科技有限公司,深圳宝安区U8智造产业园u6栋6607-608,22.604292,113.848807
深圳市倍造创新科技有限公司,深圳宝安区宗泰未来城507,22.571248,113.859921
深圳市玖必莱电子工贸有限公司,深圳宝安区金达城大厦55A,22.733039,113.830100
深圳泽立方信息科技有限公司,深圳宝安区中粮创芯研发中心1012,22.578971,113.917123
深圳市马迪奥电子商务有限公司,深圳宝安区奋成智谷西乡奋成智谷A座写字楼2002,22.571352,113.861076
深圳芒果科技创新有限公司,深圳宝安区广兴源互联网创意园A栋520,22.559355,113.867556
深圳市美盛轩电子商务有限公司,深圳宝安区集创码头创意园307,22.678661,113.811921
深圳市安美博科技有限公司,深圳宝安区恺辉茂科技研发产业园E栋601-606,22.697461,113.796718
深圳市华运昌供应链有限公司,深圳宝安区华盛辉商业大厦4楼411室,22.579305,113.860072
长沙蒂格电子科技有限公司,深圳宝安区玉山工业园B栋4楼,22.672099,113.925889
深圳市绿色明华科技有限公司,深圳宝安区华创达文化科技产业园C栋202,22.569621,113.887282
深圳市腾拓科技有限公司,深圳宝安区万庭大厦宝安区宝源路2009号万庭大厦1栋8层,22.571874,113.858988
万泉电商运营（深圳）有限公司,深圳宝安区华创达大厦B栋6楼601,22.570958,113.888675
深圳市宏泰祺科技有限公司,深圳宝安区深圳市宏泰祺科技有限公司11楼,22.683939,113.805589
深圳市宝裕行科技有限公司,深圳宝安区厚德群物流园7栋2楼,22.752757,113.824931
深圳市巴酷贸易有限责任公司,深圳宝安区华丰金源商务大厦A座6楼,22.570546,113.859826
深圳千回科技有限公司,深圳宝安区合欢商业中心千回科技408,22.587172,113.860272
深圳市涂柚科技有限公司,深圳宝安区智美·汇志B2栋407,22.676573,113.809483
深圳市旭辉伟业电子科技有限公司,深圳宝安区恒丰工业城C6栋1502D,22.629160,113.866402
深圳宝船跨境电商有限公司,深圳宝安区中粮商务公园二栋1703,22.576268,113.923121
深圳市神州易购网络科技有限公司,深圳宝安区运恒大厦201,22.560428,113.909026
深圳市前海万方供应链有限公司,深圳宝安区深圳市前海万方供应链有限公司智创矩阵3层,22.627395,113.837436
深圳市雷神智造科技有限公司,深圳宝安区宝桦物业福海信息港A10栋3层311,22.674416,113.804789
易联亿客（深圳）智能科技有限公司,深圳宝安区汇潮科技大厦506,22.578650,113.859605
深圳市卓亿电子有限公司,深圳宝安区创锦1号B209,22.576284,113.912033
深圳市益为达科技有限公司,深圳宝安区华盛泰科技大厦宝安区航空路15号华盛泰大厦6楼603室,22.607061,113.845439
深圳市小狮科技有限公司,深圳宝安区红湾商务中心D.C座C座411,22.593593,113.849913
百维尚（深圳）科技有限公司,深圳宝安区福永智荟园A2栋305,22.676168,113.809975
深圳市飞鹤电子有限公司,深圳宝安区深圳市飞鹤电子有限公司2栋3楼,22.654308,113.861707
深圳市红阳光能源技术有限公司,深圳宝安区红阳光有限公司1栋2楼,22.681964,113.804255
深圳市沃宠宝智能科技有限公司,深圳宝安区宝源华丰总部经济大厦A9923,22.572361,113.861808
深圳市必赢供应链有限公司,深圳宝安区ICC网红城A栋407（后瑞地铁A出口）,22.626325,113.838189
深圳市俊拓贸易有限公司,深圳宝安区汇聚·宝安湾智创园新安三路一巷24号汇聚宝安湾智创园A座106-107,22.577929,113.911221
深圳市大明星科技有限公司,深圳宝安区深圳市大明星科技有限公司航城大道华丰第一科技园3号门A区B栋4楼,22.603676,113.833527
深圳市伊莱美生物科技有限公司,深圳宝安区深圳慕尼斯电子有限公司603,22.557107,113.900183
深圳市欣泰德科技有限公司,深圳宝安区盛天龙创新谷515,22.583050,113.915396
联创利华（深圳）贸易有限公司,深圳宝安区华联城市全景G座2811室,22.573849,113.907964
深圳市华科莱特电子有限公司,深圳宝安区华丰第一科技园A区1/5栋5楼,22.610946,113.839237
深圳市一拓威视科技有限公司,深圳宝安区331创意园F栋3楼310室,22.555259,113.884020
深圳市兴龙乐电子有限公司,深圳宝安区深圳市兴龙乐电子有限公司园区进门左侧3楼301,22.560963,113.891640
深圳锐孚装备技术有限公司,深圳宝安区宗泰未来城702,22.571309,113.859711
睿琦实业（深圳）有限公司,深圳宝安区宝星智荟城1栋4楼3A07,22.617990,113.859169
深圳市瑞的芯科技有限公司,深圳宝安区海滨科技大厦802-803,22.665666,114.040972
深圳市黄昏科技有限公司,深圳宝安区共乐华庭商务楼501室,22.580642,113.859122
深圳市海鲸贸易有限公司,深圳宝安区博智中心7楼711B,22.595090,113.874871
深圳市联科思电子有限公司,深圳宝安区唐商大厦B栋11楼1111号,22.713215,113.835403
广东兴丰锐实业有限公司,深圳宝安区安乐工业区B区b2栋1楼107,22.600883,113.836820
深圳市创富通风科技有限公司,深圳宝安区人民医药(渡创湾区创新中心店)永东兴大厦10楼1010室,22.768841,113.850883
深圳市优佳鑫科技有限公司,深圳宝安区优创空间3栋406,22.584224,113.920115
深圳市博弈实业有限公司,深圳宝安区华美居商务中心D区一号楼701-715,22.563205,113.879677
深圳市博聆科技有限公司,深圳宝安区引进大厦8楼,22.582442,113.916434
深圳市空思迈科技有限公司,深圳宝安区万源商务大厦2栋519号,22.581564,113.917292
深圳万能网络技术有限公司,深圳宝安区宝安智谷宝安区银田路4号智谷科技创新园A座713-715,22.582971,113.859460
深圳斯凯特立网络科技有限公司,深圳宝安区光电研发总部大厦13A12,22.607412,113.855478
深圳市予乐信息技术有限公司,深圳宝安区F518时尚创意园f2-406,22.567553,113.863400
深圳市沃听科技有限公司,深圳宝安区东联大厦A座301,22.575495,113.912100
深圳市极优网络科技有限公司,深圳宝安区吉安泰工业园4栋3楼,22.671194,113.803210
深圳市星芽科技有限公司,深圳宝安区蘅芳科技大厦A座171701A,22.576637,113.862567
童学科技（深圳）有限责任公司,深圳宝安区航程信息港a3栋518,22.605304,113.847763
深圳市凯文晟科技有限公司,深圳宝安区东山五厂新屋园创意园新屋园创意园212室,22.600141,113.849284
深圳市杰益隆科技有限公司,深圳宝安区新鸿天大厦B4栋203,22.674502,113.811364
深圳市米高电子科技有限公司,深圳宝安区新安街道兴东社区72区1栋213A,22.584975,113.918947
深圳市帝晶光电科技有限公司,深圳宝安区深圳市帝晶光电科技有限公司宝安福海街道大洋路11号,22.691786,113.818050
深圳特普威科技有限公司,深圳宝安区华丰国际机器人产业园(东北门)华丰国际机器人产业园C栋520,22.602215,113.844350
深圳科诺尼电子科技有限公司,深圳宝安区汇潮科技大厦2201,22.578650,113.859605
深圳市亿繁电子有限公司,深圳宝安区华丰互联网创意园A座435，441，443,22.559355,113.867556
